human_gene_symbol	human_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	is_tf	database_tf
ABCC5	3	protein	transmembrane, cell_surface, abc, basolateral_cell_membrane, transporter, intracellular, receptor, plasma_membrane, active, abcc, apical_cell_membrane	transmembrane, cell_surface, transporter, plasma_membrane, intracellular, receptor, transmembrane_predicted	5	TRUE	OmniPath, Surfaceome, Ramilowski_location, DGIdb, UniProt, GO_Intercell, LOCATE, ComPPI, Phobius, HGNC, scConnect	FALSE	NA
ABCC6	16	protein	transmembrane, receptor, intracellular, abcc, plasma_membrane, transporter, abc, basolateral_cell_membrane	transmembrane_predicted, receptor, intracellular, transmembrane, transporter, plasma_membrane	6	TRUE	Phobius, scConnect, LOCATE, UniProt, Almen2009, HGNC, TopDB, OmniPath, ComPPI, DGIdb, GO_Intercell, Ramilowski_location	FALSE	NA
ABCC8	11	protein	transmembrane, transporter, intracellular, plasma_membrane, abc, receptor, abcc	transmembrane, transporter, intracellular, plasma_membrane, receptor, transmembrane_predicted	7	TRUE	TopDB, HGNC, GO_Intercell, OmniPath, UniProt, Ramilowski_location, DGIdb, scConnect, LOCATE, CellCellInteractions, Almen2009, ComPPI, Phobius	FALSE	NA
ABCC9	12	protein	transmembrane, intracellular, abc, transporter, abcc, cell_surface, receptor, active	transmembrane, intracellular, transporter, cell_surface, receptor, transmembrane_predicted	6	TRUE	OmniPath, GO_Intercell, UniProt, LOCATE, DGIdb, Surfaceome, scConnect, Almen2009, CellCellInteractions, HGNC, Ramilowski_location, ComPPI, Phobius	FALSE	NA
ABCD1	X	protein	intracellular, receptor, transmembrane	intracellular, receptor, transmembrane, transmembrane_predicted	5	TRUE	OmniPath, UniProt, scConnect, GO_Intercell, Ramilowski_location, Phobius, ComPPI, LOCATE	FALSE	NA
ABCD2	12	protein	transmembrane, receptor, intracellular	transmembrane, receptor, intracellular, transmembrane_predicted	5	TRUE	LOCATE, OmniPath, ComPPI, Ramilowski_location, UniProt, Phobius, scConnect, GO_Intercell	FALSE	NA
ABCD3	1	protein	transmembrane, intracellular, receptor	transmembrane, intracellular, transmembrane_predicted, receptor	5	TRUE	UniProt, LOCATE, GO_Intercell, OmniPath, Phobius, scConnect, Ramilowski_location, ComPPI	FALSE	NA
ABCD4	14	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	5	TRUE	UniProt, LOCATE, Ramilowski_location, GO_Intercell, OmniPath, Phobius, ComPPI	FALSE	NA
ABCE1	4	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, UniProt, GO_Intercell	FALSE	NA
ABCF1	6	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI	FALSE	NA
ABCF2	7	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
ABCF3	3	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
ABCG1	21	protein	transmembrane, plasma_membrane, transporter, intracellular, extracellular, receptor, abcg	transmembrane, plasma_membrane, transporter, intracellular, extracellular, receptor, transmembrane_predicted	5	TRUE	OmniPath, LOCATE, UniProt, Ramilowski_location, GO_Intercell, DGIdb, HGNC, Phobius, ComPPI, scConnect	FALSE	NA
ABCG2	4	protein	cell_surface, transporter, apical_cell_membrane, receptor, active, transmembrane, abcg, plasma_membrane, intracellular, abc, extracellular	cell_surface, transporter, plasma_membrane, receptor, transmembrane, intracellular, transmembrane_predicted, extracellular	6	TRUE	Surfaceome, OmniPath, UniProt, scConnect, TopDB, LOCATE, Almen2009, ComPPI, DGIdb, HGNC, Phobius, GO_Intercell, Ramilowski_location	FALSE	NA
ABCG4	11	protein	cell_surface, transporter, transmembrane, intracellular, receptor, abcg, plasma_membrane, extracellular, active	cell_surface, transporter, transmembrane, intracellular, receptor, transmembrane_predicted, plasma_membrane, extracellular	4	TRUE	Surfaceome, Ramilowski_location, UniProt, HGNC, OmniPath, GO_Intercell, Phobius, scConnect, Almen2009	FALSE	NA
ABCG5	2	protein	abcg, plasma_membrane, transmembrane, intracellular, active, transporter, apical_cell_membrane, abc, extracellular, cell_surface	transporter, plasma_membrane, transmembrane_predicted, intracellular, extracellular, transmembrane, cell_surface	5	TRUE	Almen2009, OmniPath, Surfaceome, Phobius, LOCATE, DGIdb, UniProt, HGNC, ComPPI, Ramilowski_location	FALSE	NA
ABCG8	2	protein	transmembrane, intracellular, transporter, abcg, apical_cell_membrane, plasma_membrane, abc	transmembrane_predicted, transmembrane, intracellular, transporter, plasma_membrane	5	TRUE	Phobius, UniProt, Ramilowski_location, LOCATE, OmniPath, HGNC, DGIdb, Almen2009, ComPPI	FALSE	NA
ABHD1	2	protein	transmembrane, transmembrane_sosui, transmembrane_predicted, transmembrane_phobius	transmembrane, transmembrane_predicted	5	TRUE	Ramilowski_location, Phobius, UniProt, Almen2009, OmniPath	FALSE	NA
ABHD10	3	protein	intracellular	intracellular	3	FALSE	UniProt, ComPPI, OmniPath, GO_Intercell	FALSE	NA
ABHD11	7	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	FALSE	NA
ABHD12	20	protein	transmembrane, intracellular, transmembrane_tmhmm, receptor, transmembrane_predicted, transmembrane_sosui, transmembrane_phobius	transmembrane, intracellular, transmembrane_predicted, receptor	5	TRUE	Ramilowski_location, GO_Intercell, UniProt, Almen2009, OmniPath, Phobius, scConnect	FALSE	NA
ABHD12B	14	protein	transmembrane, intracellular	transmembrane, intracellular	2	TRUE	Ramilowski_location, ComPPI, OmniPath, GO_Intercell	FALSE	NA
ABHD13	13	protein	transmembrane_tmhmm, transmembrane, transmembrane_predicted, intracellular, transmembrane_sosui	transmembrane_predicted, transmembrane, intracellular	5	TRUE	Almen2009, UniProt, Ramilowski_location, OmniPath, GO_Intercell, Phobius	FALSE	NA
ABHD14A	3	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	5	TRUE	UniProt, LOCATE, OmniPath, Ramilowski_location, ComPPI, Phobius, GO_Intercell	FALSE	NA
ABHD14B	3	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, ComPPI, OmniPath	FALSE	NA
ABHD15	17	protein	intracellular, secreted	intracellular, secreted	3	FALSE	OmniPath, UniProt, HPA_secretome, ComPPI	FALSE	NA
ABHD16A	6	protein	transmembrane	transmembrane, transmembrane_predicted	4	TRUE	OmniPath, Phobius, Ramilowski_location, UniProt	FALSE	NA
ABHD16B	20	protein	intracellular	intracellular	1	FALSE	OmniPath, GO_Intercell	FALSE	NA
ABHD17A	19	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI	FALSE	NA
ABHD17B	9	protein	plasma_membrane, intracellular	plasma_membrane, intracellular	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt	FALSE	NA
ABHD17C	15	protein	intracellular	intracellular	2	FALSE	OmniPath, UniProt, GO_Intercell	FALSE	NA
ABHD18	4	protein	intracellular, secreted, transmembrane	intracellular, secreted, transmembrane	2	TRUE	OmniPath, UniProt, ComPPI, Ramilowski_location	FALSE	NA
ABHD2	15	protein	transmembrane_sosui, intracellular, transmembrane, transmembrane_predicted, plasma_membrane, receptor, transmembrane_phobius	transmembrane_predicted, intracellular, transmembrane, plasma_membrane, receptor	5	TRUE	Almen2009, ComPPI, OmniPath, Ramilowski_location, UniProt, scConnect, Phobius, GO_Intercell	FALSE	NA
ABHD3	18	protein	transmembrane, intracellular	transmembrane, transmembrane_predicted, intracellular	4	TRUE	OmniPath, Phobius, ComPPI, UniProt, Ramilowski_location	FALSE	NA
ABHD4	14	protein	intracellular	intracellular	2	FALSE	GO_Intercell, ComPPI, OmniPath	FALSE	NA
ABHD5	3	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	Ramilowski_location, OmniPath, UniProt, GO_Intercell, ComPPI	FALSE	NA
ABHD6	3	protein	receptor, intracellular, transmembrane, transmembrane_predicted, transmembrane_tmhmm, transmembrane_sosui, transmembrane_phobius	receptor, intracellular, transmembrane, transmembrane_predicted	5	TRUE	OmniPath, UniProt, ComPPI, Phobius, Almen2009, scConnect, GO_Intercell, Ramilowski_location	FALSE	NA
ABHD8	19	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
ABI1	10	protein	adhesion_cytoskeleton_adaptor, intracellular, intracellular_intercellular_related	intracellular_intercellular_related, intracellular	3	FALSE	Adhesome, ComPPI, OmniPath, GO_Intercell, UniProt	FALSE	NA
ABI2	2	protein	intracellular, adhesion_cytoskeleton_adaptor, intracellular_intercellular_related	intracellular, intracellular_intercellular_related	3	FALSE	ComPPI, OmniPath, GO_Intercell, Adhesome, UniProt, LOCATE	FALSE	NA
ABI3	17	protein	intracellular, intracellular_intercellular_related, adhesion_cytoskeleton_adaptor	intracellular, intracellular_intercellular_related	3	FALSE	OmniPath, GO_Intercell, ComPPI, UniProt, Adhesome, LOCATE	FALSE	NA
ABI3BP	3	protein	matrix_adhesion, secreted, glycoprotein, ecm, intracellular, adhesion	matrix_adhesion, secreted, ecm, intracellular, adhesion	3	TRUE	Zhong2015, UniProt, Matrisome, GO_Intercell, CellCellInteractions, OmniPath, HPA_secretome, ComPPI, MatrixDB	FALSE	NA
ABITRAM	9	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI	FALSE	NA
ABL1	9	protein	intracellular, receptor	intracellular, receptor	3	FALSE	UniProt, GO_Intercell, OmniPath, LOCATE, ComPPI, scConnect	TRUE	CollecTRI;TRRUST_CollecTRI;GOA_CollecTRI
ABL2	1	protein	intracellular, receptor	intracellular, receptor	3	FALSE	ComPPI, GO_Intercell, scConnect, OmniPath, LOCATE, UniProt	FALSE	NA
ABLIM1	10	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, ComPPI, OmniPath	FALSE	NA
ABLIM2	4	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	FALSE	NA
ABLIM3	5	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	FALSE	NA
ABO	9	protein	transmembrane, intracellular, transmembrane_tmhmm, secreted, transmembrane_phobius, extracellular, transmembrane_sosui, transmembrane_predicted	transmembrane, intracellular, transmembrane_predicted, secreted, extracellular	7	TRUE	OmniPath, Almen2009, ComPPI, UniProt, LOCATE, Phobius, GO_Intercell, Ramilowski_location, TopDB	FALSE	NA
ABR	17	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	FALSE	NA
ABRA	8	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	FALSE	NA
ABRACL	6	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
ABRAXAS1	4	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, GO_Intercell, UniProt	FALSE	NA
ABRAXAS2	10	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, ComPPI, OmniPath	FALSE	NA
ABT1	6	protein	intracellular	intracellular	3	FALSE	UniProt, ComPPI, OmniPath, GO_Intercell	FALSE	NA
ABTB1	3	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, OmniPath, UniProt	FALSE	NA
ABTB2	11	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
ACAA1	3	protein	intracellular, transmembrane	intracellular, transmembrane_predicted	3	TRUE	ComPPI, LOCATE, Phobius, OmniPath, GO_Intercell, UniProt	FALSE	NA
ACAA2	18	protein	intracellular	intracellular	3	FALSE	GO_Intercell, LOCATE, ComPPI, OmniPath, UniProt	FALSE	NA
ACACA	17	protein	intracellular, receptor	intracellular, receptor	3	FALSE	LOCATE, ComPPI, GO_Intercell, OmniPath, UniProt, scConnect	FALSE	NA
ACACB	12	protein	intracellular, transmembrane, receptor	intracellular, transmembrane, receptor	3	TRUE	LOCATE, OmniPath, GO_Intercell, scConnect, UniProt, TopDB, ComPPI	FALSE	NA
ACAD10	12	protein	intracellular, transmembrane	intracellular, transmembrane_predicted	2	TRUE	ComPPI, GO_Intercell, OmniPath, Phobius	FALSE	NA
ACAD11	3	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, GO_Intercell, OmniPath, LOCATE	FALSE	NA
ACAD8	11	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, LOCATE, GO_Intercell	FALSE	NA
ACAD9	3	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, LOCATE, GO_Intercell, ComPPI	FALSE	NA
ACADL	2	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI	FALSE	NA
ACADM	1	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI, LOCATE	FALSE	NA
ACADS	12	protein	intracellular	intracellular	3	FALSE	GO_Intercell, LOCATE, UniProt, OmniPath, ComPPI	FALSE	NA
ACADSB	10	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI, LOCATE	FALSE	NA
ACADVL	17	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	FALSE	NA
ACAN	15	protein	plasma_membrane, ecm, extracellular, intracellular, hyalectan_proteoglycan, proteoglycan, matrix_adhesion, secreted, adhesion	plasma_membrane, ecm, extracellular, intracellular, matrix_adhesion, secreted, adhesion	4	TRUE	OmniPath, LOCATE, GO_Intercell, UniProt, HGNC, Matrisome, Cellinker, CellCellInteractions, MatrixDB	FALSE	NA
ACAP1	17	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	FALSE	NA
ACAP2	3	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, OmniPath, UniProt	FALSE	NA
ACAP3	1	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	FALSE	NA
ACAT1	11	protein	intracellular, receptor	intracellular, receptor	3	FALSE	ComPPI, scConnect, GO_Intercell, OmniPath, UniProt	FALSE	NA
