mouse_gene_symbol	mouse_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	database_tf
1700088E04Rik	15	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
1700093K21Rik	11	protein	transmembrane, intracellular	transmembrane, transmembrane_predicted, intracellular	4	TRUE	OmniPath, Phobius, Ramilowski_location, UniProt, ComPPI	NA
1700102P08Rik	9	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
1700123L14Rik	6	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, LOCATE, GO_Intercell	NA
1700123O20Rik	14	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt	NA
1810010H24Rik	11	protein	ecm_regulator	ecm_regulator	1	FALSE	Matrisome, OmniPath	NA
1810030O07Rik	X	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
1810037I17Rik	3	protein	transmembrane, intracellular, transmembrane_tmhmm, transmembrane_sosui, transmembrane_predicted, transmembrane_phobius	transmembrane, transmembrane_predicted, intracellular	5	TRUE	Ramilowski_location, UniProt, Phobius, GO_Intercell, Almen2009, OmniPath	NA
1810055G02Rik	19	protein	transmembrane, transmembrane_predicted, transmembrane_phobius, plasma_membrane_transmembrane, intracellular, transmembrane_tmhmm, plasma_membrane, cell_surface, transmembrane_sosui	transmembrane, transmembrane_predicted, plasma_membrane_transmembrane, intracellular, plasma_membrane, cell_surface	6	TRUE	UniProt, Ramilowski_location, OmniPath, Almen2009, Membranome, CSPA, TopDB, GO_Intercell, Phobius, Surfaceome	NA
1810058I24Rik	6	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	UniProt, GO_Intercell, ComPPI, OmniPath	NA
2210016F16Rik	13	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
2210408I21Rik	13	protein	transmembrane, intracellular	transmembrane, intracellular	1	TRUE	OmniPath, ComPPI, Ramilowski_location	NA
2300002M23Rik	17	protein	ecm, secreted, ligand, intracellular	ecm, secreted, ligand, intracellular	3	FALSE	OmniPath, UniProt, CellCellInteractions, ComPPI, iTALK, HPA_secretome, MatrixDB	NA
2300009A05Rik	9	protein	secreted, intracellular	secreted, intracellular	3	FALSE	UniProt, ComPPI, OmniPath, HPA_secretome	NA
2310011J03Rik	10	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
2310022A10Rik	7	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	NA
2310022B05Rik	8	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	NA
2310030G06Rik	9	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
2310034G01Rik	19	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
2310039H08Rik	17	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
2310061I04Rik	17	protein	transmembrane, intracellular	transmembrane, transmembrane_predicted, intracellular	1	TRUE	OmniPath, Ramilowski_location, Phobius, ComPPI	NA
2410004B18Rik	3	protein	intracellular	intracellular	2	FALSE	GO_Intercell, OmniPath, ComPPI	NA
2510002D24Rik	16	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
2510009E07Rik	16	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
2510039O18Rik	4	protein	intracellular, transmembrane, plasma_membrane_transmembrane, transmembrane_tmhmm, transmembrane_phobius, transmembrane_sosui, transmembrane_predicted	intracellular, transmembrane, plasma_membrane_transmembrane, transmembrane_predicted	6	TRUE	OmniPath, Ramilowski_location, Membranome, UniProt, ComPPI, TopDB, Almen2009, Phobius	NA
2610001J05Rik	6	protein	transmembrane	transmembrane, transmembrane_predicted	3	TRUE	UniProt, OmniPath, Phobius	NA
2610021A01Rik	7	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	NA
2610028H24Rik	10	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
2610301B20Rik	4	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI	NA
2610528J11Rik	4	protein	transmembrane, transmembrane_predicted, intracellular, plasma_membrane, transmembrane_tmhmm, transmembrane_sosui, transmembrane_phobius	transmembrane, intracellular, plasma_membrane, transmembrane_predicted	5	TRUE	UniProt, OmniPath, GO_Intercell, Almen2009, Phobius, Ramilowski_location	NA
2700049A03Rik	12	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, UniProt, GO_Intercell	NA
2700062C07Rik	18	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
2810004N23Rik	8	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	NA
2810459M11Rik	1	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
2900026A02Rik	5	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
2900092C05Rik	7	protein	cell_surface, transmembrane, transmembrane_predicted, plasma_membrane_transmembrane, transmembrane_phobius, transmembrane_tmhmm	cell_surface, transmembrane, plasma_membrane_transmembrane, transmembrane_predicted	5	TRUE	OmniPath, UniProt, Membranome, Almen2009, Phobius, Ramilowski_location, Surfaceome	NA
3110040N11Rik	7	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	NA
3110082I17Rik	5	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
3830403N18Rik	X	protein	intracellular	intracellular	3	FALSE	GO_Intercell, LOCATE, OmniPath, UniProt, ComPPI	NA
3830406C13Rik	14	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
4833420G17Rik	13	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
4833439L19Rik	13	protein	intracellular	intracellular	3	FALSE	UniProt, ComPPI, GO_Intercell, OmniPath	NA
4921504E06Rik	2	protein	intracellular	intracellular	2	FALSE	OmniPath, UniProt, GO_Intercell	NA
4921507P07Rik	6	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, ComPPI, OmniPath	NA
4921524J17Rik	8	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
4930415L06Rik	X	protein	intracellular	intracellular	1	FALSE	OmniPath, GO_Intercell	NA
4930453N24Rik	16	protein	intracellular	intracellular	2	FALSE	GO_Intercell, OmniPath, ComPPI	NA
4930505A04Rik	11	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
4930522H14Rik	4	protein	transmembrane_phobius, transmembrane, transmembrane_tmhmm, transmembrane_sosui, transmembrane_predicted	transmembrane_predicted, transmembrane	5	TRUE	Almen2009, UniProt, OmniPath, Ramilowski_location, Phobius	NA
4930523C07Rik	1	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	4	TRUE	OmniPath, UniProt, ComPPI, Phobius, Ramilowski_location	NA
4930558C23Rik	3	protein	transmembrane	transmembrane, transmembrane_predicted	3	TRUE	OmniPath, UniProt, Phobius	NA
4930558K02Rik	1	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
4930578I06Rik	14	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
4930579F01Rik	3	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
4930579G24Rik	3	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	NA
4930590J08Rik	6	protein	transmembrane, intracellular	transmembrane, intracellular	4	TRUE	UniProt, GO_Intercell, ComPPI, OmniPath, Ramilowski_location	NA
4931406B18Rik	7	protein	transmembrane, transmembrane_predicted, cell_surface, transmembrane_tmhmm, transmembrane_phobius, plasma_membrane_transmembrane, cell_adhesion, ig_like, adhesion	transmembrane, cell_surface, transmembrane_predicted, plasma_membrane_transmembrane, cell_adhesion, adhesion	5	TRUE	UniProt, OmniPath, Surfaceome, Almen2009, Phobius, HGNC, Ramilowski_location, Membranome	NA
4931406C07Rik	9	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, LOCATE, GO_Intercell	NA
4931414P19Rik	14	protein	secreted, intracellular	secreted, intracellular	3	FALSE	UniProt, OmniPath, HPA_secretome, ComPPI	NA
4931417E11Rik	6	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	5	TRUE	GO_Intercell, OmniPath, LOCATE, ComPPI, UniProt, Phobius, Ramilowski_location	NA
4931428L18Rik	1	protein	intracellular	intracellular	3	FALSE	UniProt, LOCATE, GO_Intercell, ComPPI, OmniPath	NA
4932411N23Rik	X	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, GO_Intercell, UniProt	NA
4932415D10Rik	10	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	NA
4932429P05Rik	X	protein	intracellular	intracellular	1	FALSE	OmniPath, GO_Intercell	NA
4932438H23Rik	16	protein	secreted	secreted	1	FALSE	OmniPath, HPA_secretome	NA
4933400A11Rik	X	protein	intracellular	intracellular	3	FALSE	ComPPI, LOCATE, GO_Intercell, OmniPath, UniProt	NA
4933402J07Rik	8	protein	intracellular	intracellular	2	FALSE	GO_Intercell, OmniPath, ComPPI	NA
4933402N03Rik	7	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
4933411K16Rik	19	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
4933424G06Rik	1	protein	transmembrane	transmembrane, transmembrane_predicted	3	TRUE	UniProt, OmniPath, Phobius	NA
4933427D14Rik	11	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI	NA
4933430I17Rik	4	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
4933434E20Rik	3	protein	transmembrane, transmembrane_sosui, intracellular, transmembrane_phobius, transmembrane_tmhmm, transmembrane_predicted	transmembrane_predicted, transmembrane, intracellular	5	TRUE	Phobius, UniProt, Almen2009, GO_Intercell, OmniPath, ComPPI, Ramilowski_location	NA
5031439G07Rik	15	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
5730409E04Rik	4	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
5730455P16Rik	11	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, UniProt, GO_Intercell	NA
5730480H06Rik	5	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
6030458C11Rik	15	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
6030468B19Rik	11	protein	secreted, transmembrane, ligand	secreted, transmembrane, ligand	3	TRUE	UniProt, GO_Intercell, OmniPath, HPA_secretome	NA
6430548M08Rik	8	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	NA
6430550D23Rik	2	protein	transmembrane_predicted, intracellular, transmembrane, transmembrane_tmhmm, transmembrane_sosui, transmembrane_phobius	transmembrane, intracellular, transmembrane_predicted	3	TRUE	OmniPath, ComPPI, Almen2009	NA
6430571L13Rik	9	protein	transmembrane, transmembrane_predicted, transmembrane_phobius, transmembrane_tmhmm, transmembrane_sosui	transmembrane, transmembrane_predicted	5	TRUE	UniProt, OmniPath, Ramilowski_location, Phobius, Almen2009	NA
6430628N08Rik	4	protein	transmembrane	transmembrane, transmembrane_predicted	3	TRUE	UniProt, Phobius, OmniPath	NA
6820408C15Rik	2	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
7420426K07Rik	9	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
8030462N17Rik	18	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
9030025P20Rik	17	protein	transmembrane, intracellular, transmembrane_predicted, transmembrane_tmhmm	transmembrane, transmembrane_predicted, intracellular	5	TRUE	UniProt, Phobius, GO_Intercell, ComPPI, OmniPath, Almen2009, Ramilowski_location	NA
9130008F23Rik	17	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
9130401M01Rik	15	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
9130409I23Rik	1	protein	intracellular, receptor, transmembrane	intracellular, receptor, transmembrane, transmembrane_predicted	4	TRUE	UniProt, OmniPath, Ramilowski_location, Phobius, GO_Intercell, scConnect, ComPPI	NA
9330159F19Rik	10	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
9430015G10Rik	4	protein	cell_surface, transmembrane, transmembrane_sosui, intracellular, plasma_membrane_transmembrane, transmembrane_phobius, transmembrane_predicted, transmembrane_tmhmm	cell_surface, transmembrane, transmembrane_predicted, intracellular, plasma_membrane_transmembrane	5	TRUE	Surfaceome, OmniPath, UniProt, Almen2009, ComPPI, Ramilowski_location, CSPA, Phobius	NA
9530003J23Rik	10	protein	secreted, extracellular, intracellular, lysozym	secreted, extracellular, intracellular, secreted_enyzme	3	FALSE	HPA_secretome, UniProt, LOCATE, ComPPI, OmniPath, GO_Intercell, HGNC	NA
9930012K11Rik	14	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
9930021J03Rik	19	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
9930104L06Rik	4	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, ComPPI, GO_Intercell	NA
A130010J15Rik	1	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
A1bg	15	protein	intracellular, extracellular, secreted, receptor	intracellular, extracellular, secreted, receptor	3	FALSE	ComPPI, OmniPath, GO_Intercell, HPA_secretome, LOCATE, UniProt, CellTalkDB	NA
A1cf	19	protein	intracellular	intracellular	3	FALSE	LOCATE, OmniPath, GO_Intercell, ComPPI, UniProt	NA
A2m	6	protein	intracellular, growth_factor_binder, extracellular, secreted, ecm_regulator, ligand_regulator	intracellular, ligand_regulator, extracellular, secreted, ecm_regulator	5	FALSE	OmniPath, GO_Intercell, UniProt, HPA_secretome, Baccin2019, connectomeDB2020, Matrisome, LOCATE	NA
A3galt2	4	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	3	TRUE	GO_Intercell, UniProt, Phobius, OmniPath	NA
A430005L14Rik	4	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, ComPPI, OmniPath	NA
A4galt	15	protein	transmembrane_phobius, intracellular, transmembrane, transmembrane_sosui, transmembrane_predicted, transmembrane_tmhmm	transmembrane_predicted, intracellular, transmembrane	6	TRUE	Almen2009, UniProt, ComPPI, OmniPath, Ramilowski_location, LOCATE, GO_Intercell, Phobius	NA
A4gnt	9	protein	transmembrane, intracellular	transmembrane, intracellular	5	TRUE	OmniPath, UniProt, Ramilowski_location, GO_Intercell, LOCATE	NA
A730046J19Rik	X	protein	transmembrane, intracellular	transmembrane, transmembrane_predicted, intracellular	3	TRUE	UniProt, Phobius, OmniPath, GO_Intercell	NA
A830018L16Rik	1	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
A930017K11Rik	17	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
AA792892	5	protein	intracellular	intracellular	2	FALSE	OmniPath, GO_Intercell, ComPPI	NA
AAdacl4fm3	4	protein	transmembrane, transmembrane_tmhmm, transmembrane_predicted	transmembrane, transmembrane_predicted	4	TRUE	UniProt, Almen2009, OmniPath, Phobius	NA
AI413582	17	protein	transmembrane	transmembrane, transmembrane_predicted	3	TRUE	UniProt, OmniPath, Phobius	NA
AI429214	8	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
AI467606	7	protein	intracellular, transmembrane, transmembrane_predicted, transmembrane_tmhmm, transmembrane_phobius, transmembrane_sosui	intracellular, transmembrane, transmembrane_predicted	7	TRUE	OmniPath, LOCATE, UniProt, ComPPI, Almen2009, TopDB, Ramilowski_location, Phobius	NA
AI593442	9	protein	transmembrane_predicted, transmembrane, plasma_membrane_transmembrane, transmembrane_tmhmm, transmembrane_sosui, transmembrane_phobius, cell_surface	transmembrane, plasma_membrane_transmembrane, transmembrane_predicted, cell_surface	5	TRUE	OmniPath, Ramilowski_location, UniProt, Almen2009, Surfaceome, Membranome, Phobius	NA
AI597479	1	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, ComPPI, GO_Intercell	NA
AI661453	17	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
AI837181	19	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
AK157302	13	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, LOCATE, UniProt, OmniPath	NA
AU015836	X	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, UniProt, GO_Intercell	NA
AU021092	16	protein	intracellular, secreted	intracellular, secreted	3	FALSE	ComPPI, OmniPath, UniProt, HPA_secretome, GO_Intercell	NA
AU022252	4	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
AU040320	4	protein	intracellular, transmembrane, plasma_membrane, adhesion, plasma_membrane_transmembrane, transmembrane_tmhmm, transmembrane_predicted, cell_adhesion	intracellular, transmembrane, plasma_membrane, adhesion, plasma_membrane_transmembrane, transmembrane_predicted, cell_adhesion	6	TRUE	OmniPath, TopDB, Cellinker, GO_Intercell, ComPPI, Membranome, UniProt, Ramilowski_location, Almen2009, Phobius	NA
AW209491	13	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
AW551984	9	protein	ecm, glycoprotein, intracellular	ecm, intracellular	2	FALSE	OmniPath, MatrixDB, Matrisome, GO_Intercell, ComPPI	NA
AW554918	18	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
AY761185	8	protein	secreted, ecm, defensin, intracellular, extracellular	secreted, ecm, secreted_enyzme, intracellular, extracellular	3	FALSE	UniProt, OmniPath, CellCellInteractions, HGNC, LOCATE, GO_Intercell, ComPPI, HPA_secretome	NA
Aaas	15	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	Ramilowski_location, GO_Intercell, OmniPath, UniProt, ComPPI	NA
Aacs	5	protein	transmembrane, intracellular	transmembrane_predicted, intracellular	3	TRUE	Phobius, UniProt, ComPPI, GO_Intercell, OmniPath	NA
Aadac	3	protein	transmembrane_predicted, transmembrane, intracellular, transmembrane_tmhmm	transmembrane, intracellular, transmembrane_predicted	7	TRUE	OmniPath, UniProt, LOCATE, TopDB, Ramilowski_location, GO_Intercell, Almen2009, ComPPI, Phobius	NA
Aadacl2	3	protein	secreted, transmembrane	secreted, transmembrane	3	TRUE	UniProt, HPA_secretome, OmniPath, Ramilowski_location	NA
Aadacl3	4	protein	transmembrane	transmembrane, transmembrane_predicted	1	TRUE	Ramilowski_location, OmniPath, Phobius	NA
Aadacl4	4	protein	transmembrane, transmembrane_tmhmm, transmembrane_predicted	transmembrane, transmembrane_predicted	4	TRUE	UniProt, Almen2009, OmniPath, Phobius	NA
Aadacl4fm1	4	protein	transmembrane, transmembrane_tmhmm, transmembrane_predicted	transmembrane, transmembrane_predicted	4	TRUE	UniProt, Almen2009, OmniPath, Phobius	NA
Aadacl4fm4	4	protein	transmembrane, transmembrane_tmhmm, transmembrane_predicted	transmembrane, transmembrane_predicted	4	TRUE	UniProt, Almen2009, OmniPath, Phobius	NA
Aadacl4fm5	4	protein	transmembrane, transmembrane_tmhmm, transmembrane_predicted	transmembrane, transmembrane_predicted	4	TRUE	UniProt, Almen2009, OmniPath, Phobius	NA
Aadat	8	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI, LOCATE	NA
Aagab	9	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI, LOCATE	NA
Aak1	6	protein	plasma_membrane, receptor, intracellular	plasma_membrane, receptor, intracellular	2	FALSE	OmniPath, scConnect, UniProt, ComPPI, GO_Intercell, LOCATE	NA
Aamdc	7	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	NA
Aamp	1	protein	plasma_membrane, intracellular	plasma_membrane, intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	NA
Aanat	11	protein	intracellular, extracellular, secreted	intracellular, extracellular, secreted	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI, connectomeDB2020, HPMR	NA
Aar2	2	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	NA
Aard	15	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
Aars	8	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, OmniPath, LOCATE, ComPPI	NA
Aars2	17	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Aarsd1	11	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI	NA
Aasdh	5	protein	intracellular, transmembrane_sosui, transmembrane, transmembrane_phobius, transmembrane_predicted, transmembrane_tmhmm	intracellular, transmembrane_predicted, transmembrane	3	TRUE	OmniPath, ComPPI, Almen2009	NA
Aasdhppt	9	protein	intracellular	intracellular	3	FALSE	UniProt, LOCATE, GO_Intercell, OmniPath, ComPPI	NA
Aass	6	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, UniProt, LOCATE, OmniPath	NA
Aatf	11	protein	intracellular	intracellular	3	FALSE	LOCATE, ComPPI, GO_Intercell, UniProt, OmniPath	SIGNOR
Aatk	11	protein	receptor, transmembrane, transmembrane_phobius, transmembrane_sosui, intracellular, tyrosine_kinase, transmembrane_predicted	receptor, transmembrane, transmembrane_predicted, intracellular	5	TRUE	SignaLink_function, UniProt, scConnect, Almen2009, OmniPath, GO_Intercell, HGNC, Phobius, ComPPI, Ramilowski_location	NA
Abat	16	protein	receptor, intracellular	receptor, intracellular	3	FALSE	OmniPath, ComPPI, UniProt, GO_Intercell, scConnect	NA
Abca1	4	protein	transmembrane, cell_surface, intracellular, plasma_membrane, active, extracellular, cell_surface_ligand, abc, abca, transporter	transmembrane, cell_surface, intracellular, plasma_membrane, transporter, extracellular, cell_surface_ligand, transmembrane_predicted	7	TRUE	GO_Intercell, Surfaceome, TopDB, OmniPath, Ramilowski_location, CellPhoneDB, UniProt, ComPPI, connectomeDB2020, Phobius, Baccin2019, DGIdb, Cellinker, LOCATE	NA
Abca12	1	protein	transporter, transmembrane, intracellular, cell_surface, abc, abca, active	transporter, transmembrane, intracellular, cell_surface, transmembrane_predicted	6	TRUE	OmniPath, Ramilowski_location, UniProt, GO_Intercell, ComPPI, TopDB, DGIdb, Surfaceome, Phobius, LOCATE	NA
Abca13	11	protein	transporter, receptor, abca, transmembrane, cell_surface, abc, intracellular, active	transporter, receptor, transmembrane, cell_surface, intracellular, transmembrane_predicted	5	TRUE	Surfaceome, OmniPath, UniProt, LOCATE, DGIdb, ComPPI, scConnect, GO_Intercell, Ramilowski_location, Almen2009, Phobius	NA
Abca2	2	protein	transmembrane, transporter, intracellular, abca, receptor, active	transmembrane, transmembrane_predicted, transporter, intracellular, receptor	5	TRUE	UniProt, Ramilowski_location, Phobius, OmniPath, LOCATE, ComPPI, Surfaceome, GO_Intercell, scConnect	NA
Abca3	17	protein	cell_surface, receptor, transmembrane, intracellular, active, abc, transporter, abca	cell_surface, receptor, transmembrane, intracellular, transporter, transmembrane_predicted	5	TRUE	Surfaceome, OmniPath, UniProt, DGIdb, scConnect, OPM, GO_Intercell, Phobius, ComPPI, Ramilowski_location	NA
Abca4	3	protein	intracellular, receptor, transmembrane, transporter, abca, cell_surface, active	intracellular, receptor, transmembrane, transmembrane_predicted, transporter, cell_surface	5	TRUE	ComPPI, scConnect, TopDB, UniProt, Phobius, Surfaceome, GO_Intercell, OmniPath, Ramilowski_location	NA
